town,price,year
barnegat light,850000.0,2020.0
barnegat light,965000.0,2020.0
barnegat light,1200000.0,2020.0
barnegat light,1725000.0,2020.0
barnegat light,3200000.0,2020.0
barnegat light,940000.0,nan
barnegat light,1470000.0,2020.0
barnegat light,1200000.0,2020.0
barnegat light,1725000.0,2021.0
barnegat light,1725000.0,2021.0
barnegat light,1300000.0,2021.0
barnegat light,2450000.0,2023.0
barnegat light,2200000.0,2021.0
barnegat light,2275000.0,2022.0
barnegat light,2450000.0,2022.0
barnegat light,2350000.0,2022.0
barnegat light,2499000.0,2024.0
barnegat light,2250000.0,nan
barnegat light,2350000.0,2022.0
barnegat light,1420000.0,2023.0
barnegat light,1830000.0,2023.0
barnegat light,1225000.0,2024.0
barnegat light,2600000.0,nan
barnegat light,2200000.0,2023.0
bay head,1370000.0,2017.0
bay head,1575000.0,2017.0
bay head,1400000.0,2017.0
bay head,880000.0,nan
bay head,1525000.0,2017.0
bay head,1300000.0,2018.0
bay head,850000.0,2021.0
bay head,1485000.0,2017.0
bay head,870000.0,2018.0
bay head,1450000.0,2017.0
bay head,3185000.0,2018.0
bay head,1299000.0,2018.0
bay head,1247500.0,2014.0
bay head,525000.0,2009.0
bay head,684000.0,2011.0
bay head,740000.0,2008.0
bay head,2640000.0,2009.0
bay head,532500.0,2009.0
bay head,999000.0,2008.0
bay head,4950000.0,2008.0
bay head,1275000.0,2009.0
bay head,637500.0,2008.0
bay head,2125000.0,2009.0
bay head,1949013.0,2008.0
bay head,740000.0,2009.0
bay head,850000.0,2008.0
bay head,1250000.0,2008.0
bay head,1250000.0,2009.0
bay head,950000.0,2009.0
bay head,999000.0,2009.0
bay head,1618750.0,2009.0
bay head,1078000.0,2009.0
bay head,2600000.0,2009.0
bay head,4000000.0,2009.0
bay head,1400000.0,2009.0
bay head,1225000.0,2009.0
bay head,1158300.0,2009.0
bay head,2000000.0,2009.0
bay head,900000.0,2009.0
bay head,1450000.0,2009.0
bay head,2125000.0,2009.0
bay head,1800000.0,2009.0
bay head,995000.0,2009.0
bay head,2170000.0,2009.0
bay head,755000.0,2010.0
bay head,999000.0,2009.0
bay head,1250000.0,2009.0
